t,timestamp,value,regime_hint,source_y_name,y_units,original_index,source_y_name_ru,recommended_group,source_dataset
0,2014-02-14 14:27:00,51.846,normal,EC2 CPU utilization,%,0,загрузка процессора сервера EC2,main_recommended,NAB
1,2014-02-14 15:22:00,49.72,normal,EC2 CPU utilization,%,2,загрузка процессора сервера EC2,main_recommended,NAB
2,2014-02-14 16:02:00,50.224,normal,EC2 CPU utilization,%,4,загрузка процессора сервера EC2,main_recommended,NAB
3,2014-02-14 16:22:00,40.942,normal,EC2 CPU utilization,%,5,загрузка процессора сервера EC2,main_recommended,NAB
4,2014-02-14 17:17:00,40.23,normal,EC2 CPU utilization,%,7,загрузка процессора сервера EC2,main_recommended,NAB
5,2014-02-14 18:02:00,52.94,normal,EC2 CPU utilization,%,9,загрузка процессора сервера EC2,main_recommended,NAB
6,2014-02-14 18:42:00,53.17,normal,EC2 CPU utilization,%,11,загрузка процессора сервера EC2,main_recommended,NAB
7,2014-02-14 19:22:00,52.536,normal,EC2 CPU utilization,%,13,загрузка процессора сервера EC2,main_recommended,NAB
8,2014-02-14 19:42:00,45.4,normal,EC2 CPU utilization,%,14,загрузка процессора сервера EC2,main_recommended,NAB
9,2014-02-14 20:37:00,40.774,normal,EC2 CPU utilization,%,16,загрузка процессора сервера EC2,main_recommended,NAB
10,2014-02-14 21:17:00,40.4,normal,EC2 CPU utilization,%,18,загрузка процессора сервера EC2,main_recommended,NAB
11,2014-02-14 22:02:00,44.026,normal,EC2 CPU utilization,%,20,загрузка процессора сервера EC2,main_recommended,NAB
12,2014-02-14 22:42:00,44.834,normal,EC2 CPU utilization,%,22,загрузка процессора сервера EC2,main_recommended,NAB
13,2014-02-14 23:12:00,53.544,normal,EC2 CPU utilization,%,23,загрузка процессора сервера EC2,main_recommended,NAB
14,2014-02-14 23:52:00,52.364,normal,EC2 CPU utilization,%,25,загрузка процессора сервера EC2,main_recommended,NAB
15,2014-02-15 00:47:00,49.036,normal,EC2 CPU utilization,%,27,загрузка процессора сервера EC2,main_recommended,NAB
16,2014-02-15 01:22:00,42.88800000000001,normal,EC2 CPU utilization,%,29,загрузка процессора сервера EC2,main_recommended,NAB
17,2014-02-15 02:12:00,46.272,normal,EC2 CPU utilization,%,31,загрузка процессора сервера EC2,main_recommended,NAB
18,2014-02-15 02:32:00,52.63,normal,EC2 CPU utilization,%,32,загрузка процессора сервера EC2,main_recommended,NAB
19,2014-02-15 03:12:00,50.222,normal,EC2 CPU utilization,%,34,загрузка процессора сервера EC2,main_recommended,NAB
20,2014-02-15 04:07:00,50.658,normal,EC2 CPU utilization,%,36,загрузка процессора сервера EC2,main_recommended,NAB
21,2014-02-15 04:57:00,53.88800000000001,normal,EC2 CPU utilization,%,38,загрузка процессора сервера EC2,main_recommended,NAB
22,2014-02-15 05:37:00,52.368,normal,EC2 CPU utilization,%,40,загрузка процессора сервера EC2,main_recommended,NAB
23,2014-02-15 05:47:00,42.23,normal,EC2 CPU utilization,%,41,загрузка процессора сервера EC2,main_recommended,NAB
24,2014-02-15 06:52:00,41.08,normal,EC2 CPU utilization,%,43,загрузка процессора сервера EC2,main_recommended,NAB
25,2014-02-15 07:22:00,41.808,normal,EC2 CPU utilization,%,45,загрузка процессора сервера EC2,main_recommended,NAB
26,2014-02-15 08:02:00,41.902,normal,EC2 CPU utilization,%,47,загрузка процессора сервера EC2,main_recommended,NAB
27,2014-02-15 08:52:00,45.728,normal,EC2 CPU utilization,%,49,загрузка процессора сервера EC2,main_recommended,NAB
28,2014-02-15 09:22:00,40.892,normal,EC2 CPU utilization,%,50,загрузка процессора сервера EC2,main_recommended,NAB
29,2014-02-15 10:07:00,53.216,normal,EC2 CPU utilization,%,52,загрузка процессора сервера EC2,main_recommended,NAB
30,2014-02-15 10:47:00,51.738,normal,EC2 CPU utilization,%,54,загрузка процессора сервера EC2,main_recommended,NAB
31,2014-02-15 12:22:00,50.45,normal,EC2 CPU utilization,%,58,загрузка процессора сервера EC2,main_recommended,NAB
32,2014-02-15 12:42:00,41.526,normal,EC2 CPU utilization,%,59,загрузка процессора сервера EC2,main_recommended,NAB
33,2014-02-15 13:22:00,40.54,normal,EC2 CPU utilization,%,61,загрузка процессора сервера EC2,main_recommended,NAB
34,2014-02-15 14:07:00,55.154,normal,EC2 CPU utilization,%,63,загрузка процессора сервера EC2,main_recommended,NAB
35,2014-02-15 14:47:00,51.844,normal,EC2 CPU utilization,%,65,загрузка процессора сервера EC2,main_recommended,NAB
36,2014-02-15 15:42:00,52.348,normal,EC2 CPU utilization,%,67,загрузка процессора сервера EC2,main_recommended,NAB
