t,timestamp,value,regime_hint,source_y_name,y_units,original_index,source_y_name_ru,recommended_group,source_dataset
0,2015-09-01 11:30:00,13.56,normal,traffic sensor occupancy,occupancy units / %,0,занятость дорожного датчика,backup_less_clear,NAB
1,2015-09-01 12:20:00,11.83,normal,traffic sensor occupancy,occupancy units / %,2,занятость дорожного датчика,backup_less_clear,NAB
2,2015-09-01 12:50:00,13.72,normal,traffic sensor occupancy,occupancy units / %,4,занятость дорожного датчика,backup_less_clear,NAB
3,2015-09-01 13:05:00,2.61,normal,traffic sensor occupancy,occupancy units / %,5,занятость дорожного датчика,backup_less_clear,NAB
4,2015-09-01 13:45:00,7.72,normal,traffic sensor occupancy,occupancy units / %,7,занятость дорожного датчика,backup_less_clear,NAB
5,2015-09-01 14:30:00,6.39,normal,traffic sensor occupancy,occupancy units / %,9,занятость дорожного датчика,backup_less_clear,NAB
6,2015-09-01 15:05:00,24.72,normal,traffic sensor occupancy,occupancy units / %,11,занятость дорожного датчика,backup_less_clear,NAB
7,2015-09-01 15:35:00,7.83,normal,traffic sensor occupancy,occupancy units / %,13,занятость дорожного датчика,backup_less_clear,NAB
8,2015-09-01 15:45:00,14.94,normal,traffic sensor occupancy,occupancy units / %,14,занятость дорожного датчика,backup_less_clear,NAB
9,2015-09-01 16:20:00,11.33,normal,traffic sensor occupancy,occupancy units / %,16,занятость дорожного датчика,backup_less_clear,NAB
10,2015-09-01 17:05:00,11.83,normal,traffic sensor occupancy,occupancy units / %,18,занятость дорожного датчика,backup_less_clear,NAB
11,2015-09-01 17:45:00,7.61,normal,traffic sensor occupancy,occupancy units / %,20,занятость дорожного датчика,backup_less_clear,NAB
12,2015-09-01 18:15:00,14.56,normal,traffic sensor occupancy,occupancy units / %,22,занятость дорожного датчика,backup_less_clear,NAB
13,2015-09-01 18:25:00,4.89,normal,traffic sensor occupancy,occupancy units / %,23,занятость дорожного датчика,backup_less_clear,NAB
14,2015-09-01 19:25:00,5.33,normal,traffic sensor occupancy,occupancy units / %,25,занятость дорожного датчика,backup_less_clear,NAB
15,2015-09-01 20:35:00,8.67,normal,traffic sensor occupancy,occupancy units / %,27,занятость дорожного датчика,backup_less_clear,NAB
16,2015-09-01 21:05:00,12.83,normal,traffic sensor occupancy,occupancy units / %,29,занятость дорожного датчика,backup_less_clear,NAB
17,2015-09-01 22:10:00,9.0,normal,traffic sensor occupancy,occupancy units / %,31,занятость дорожного датчика,backup_less_clear,NAB
18,2015-09-01 22:20:00,1.06,normal,traffic sensor occupancy,occupancy units / %,32,занятость дорожного датчика,backup_less_clear,NAB
19,2015-09-01 23:05:00,5.17,normal,traffic sensor occupancy,occupancy units / %,34,занятость дорожного датчика,backup_less_clear,NAB
20,2015-09-02 00:10:00,2.72,normal,traffic sensor occupancy,occupancy units / %,36,занятость дорожного датчика,backup_less_clear,NAB
21,2015-09-02 03:05:00,1.89,normal,traffic sensor occupancy,occupancy units / %,38,занятость дорожного датчика,backup_less_clear,NAB
22,2015-09-02 04:20:00,2.22,normal,traffic sensor occupancy,occupancy units / %,40,занятость дорожного датчика,backup_less_clear,NAB
23,2015-09-02 04:25:00,10.11,normal,traffic sensor occupancy,occupancy units / %,41,занятость дорожного датчика,backup_less_clear,NAB
24,2015-09-02 05:00:00,5.67,normal,traffic sensor occupancy,occupancy units / %,43,занятость дорожного датчика,backup_less_clear,NAB
25,2015-09-02 05:50:00,8.0,normal,traffic sensor occupancy,occupancy units / %,45,занятость дорожного датчика,backup_less_clear,NAB
26,2015-09-02 06:10:00,11.61,normal,traffic sensor occupancy,occupancy units / %,47,занятость дорожного датчика,backup_less_clear,NAB
27,2015-09-02 06:50:00,10.67,normal,traffic sensor occupancy,occupancy units / %,49,занятость дорожного датчика,backup_less_clear,NAB
28,2015-09-02 07:10:00,25.78,normal,traffic sensor occupancy,occupancy units / %,50,занятость дорожного датчика,backup_less_clear,NAB
29,2015-09-02 07:35:00,14.33,normal,traffic sensor occupancy,occupancy units / %,52,занятость дорожного датчика,backup_less_clear,NAB
30,2015-09-02 08:00:00,19.56,normal,traffic sensor occupancy,occupancy units / %,54,занятость дорожного датчика,backup_less_clear,NAB
31,2015-09-02 09:05:00,13.33,normal,traffic sensor occupancy,occupancy units / %,58,занятость дорожного датчика,backup_less_clear,NAB
32,2015-09-02 09:15:00,21.56,normal,traffic sensor occupancy,occupancy units / %,59,занятость дорожного датчика,backup_less_clear,NAB
