t,timestamp,value,regime_hint,source_y_name,y_units,anomaly,changepoint,original_index,source_y_name_ru,recommended_group,source_dataset
0,2020-02-08 19:16:28,28.7711,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,0,температура жидкости в циркуляционном контуре,main_recommended,SKAB
1,2020-02-08 19:16:30,28.7602,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,2,температура жидкости в циркуляционном контуре,main_recommended,SKAB
2,2020-02-08 19:16:32,28.7734,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,4,температура жидкости в циркуляционном контуре,main_recommended,SKAB
3,2020-02-08 19:16:33,28.7685,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,5,температура жидкости в циркуляционном контуре,main_recommended,SKAB
4,2020-02-08 19:16:35,28.7578,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,7,температура жидкости в циркуляционном контуре,main_recommended,SKAB
5,2020-02-08 19:16:37,28.7602,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,9,температура жидкости в циркуляционном контуре,main_recommended,SKAB
6,2020-02-08 19:16:39,28.7559,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,11,температура жидкости в циркуляционном контуре,main_recommended,SKAB
7,2020-02-08 19:16:41,28.7498,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,13,температура жидкости в циркуляционном контуре,main_recommended,SKAB
8,2020-02-08 19:16:42,28.7503,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,14,температура жидкости в циркуляционном контуре,main_recommended,SKAB
9,2020-02-08 19:16:44,28.7604,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,16,температура жидкости в циркуляционном контуре,main_recommended,SKAB
10,2020-02-08 19:16:47,28.754,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,18,температура жидкости в циркуляционном контуре,main_recommended,SKAB
11,2020-02-08 19:16:49,28.7391,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,20,температура жидкости в циркуляционном контуре,main_recommended,SKAB
12,2020-02-08 19:16:51,28.7428,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,22,температура жидкости в циркуляционном контуре,main_recommended,SKAB
13,2020-02-08 19:16:53,28.7526,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,24,температура жидкости в циркуляционном контуре,main_recommended,SKAB
14,2020-02-08 19:16:54,28.7351,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,25,температура жидкости в циркуляционном контуре,main_recommended,SKAB
15,2020-02-08 19:16:56,28.7429,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,27,температура жидкости в циркуляционном контуре,main_recommended,SKAB
16,2020-02-08 19:16:58,28.7399,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,29,температура жидкости в циркуляционном контуре,main_recommended,SKAB
17,2020-02-08 19:17:00,28.7339,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,31,температура жидкости в циркуляционном контуре,main_recommended,SKAB
18,2020-02-08 19:17:02,28.7433,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,33,температура жидкости в циркуляционном контуре,main_recommended,SKAB
19,2020-02-08 19:17:03,28.7415,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,34,температура жидкости в циркуляционном контуре,main_recommended,SKAB
20,2020-02-08 19:17:05,28.749,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,36,температура жидкости в циркуляционном контуре,main_recommended,SKAB
21,2020-02-08 19:17:08,28.7544,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,38,температура жидкости в циркуляционном контуре,main_recommended,SKAB
22,2020-02-08 19:17:10,28.7538,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,40,температура жидкости в циркуляционном контуре,main_recommended,SKAB
23,2020-02-08 19:17:12,28.7715,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,42,температура жидкости в циркуляционном контуре,main_recommended,SKAB
24,2020-02-08 19:17:13,28.7637,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,43,температура жидкости в циркуляционном контуре,main_recommended,SKAB
25,2020-02-08 19:17:15,28.7681,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,45,температура жидкости в циркуляционном контуре,main_recommended,SKAB
26,2020-02-08 19:17:17,28.7618,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,47,температура жидкости в циркуляционном контуре,main_recommended,SKAB
27,2020-02-08 19:17:19,28.7574,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,49,температура жидкости в циркуляционном контуре,main_recommended,SKAB
28,2020-02-08 19:17:21,28.7595,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,51,температура жидкости в циркуляционном контуре,main_recommended,SKAB
29,2020-02-08 19:17:23,28.7678,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,53,температура жидкости в циркуляционном контуре,main_recommended,SKAB
30,2020-02-08 19:17:24,28.7677,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,54,температура жидкости в циркуляционном контуре,main_recommended,SKAB
31,2020-02-08 19:17:26,28.7562,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,56,температура жидкости в циркуляционном контуре,main_recommended,SKAB
32,2020-02-08 19:17:28,28.7554,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,58,температура жидкости в циркуляционном контуре,main_recommended,SKAB
33,2020-02-08 19:17:31,28.761,normal_mode,fluid temperature in circulation loop,°C,0.0,0.0,60,температура жидкости в циркуляционном контуре,main_recommended,SKAB
