t,timestamp,value,regime_hint,source_y_name,y_units,anomaly,changepoint,original_index,source_y_name_ru,recommended_group,source_dataset
0,2020-02-08 16:47:11,0.213089,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,0,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
1,2020-02-08 16:47:14,0.211292,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,2,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
2,2020-02-08 16:47:16,0.216587,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,4,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
3,2020-02-08 16:47:18,0.216248,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,6,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
4,2020-02-08 16:47:20,0.211607,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,8,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
5,2020-02-08 16:47:22,0.214418,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,10,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
6,2020-02-08 16:47:26,0.216264,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,12,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
7,2020-02-08 16:47:28,0.215448,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,14,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
8,2020-02-08 16:47:30,0.217064,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,16,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
9,2020-02-08 16:47:32,0.208411,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,18,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
10,2020-02-08 16:47:34,0.216051,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,20,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
11,2020-02-08 16:47:36,0.210586,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,22,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
12,2020-02-08 16:47:39,0.216324,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,24,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
13,2020-02-08 16:47:41,0.216504,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,26,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
14,2020-02-08 16:47:43,0.216207,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,28,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
15,2020-02-08 16:47:45,0.212904,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,30,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
16,2020-02-08 16:47:47,0.211791,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,32,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
17,2020-02-08 16:47:51,0.214053,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,34,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
18,2020-02-08 16:47:53,0.210873,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,36,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
19,2020-02-08 16:47:55,0.21629,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,38,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
20,2020-02-08 16:47:57,0.21091,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,40,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
21,2020-02-08 16:48:02,0.217093,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,44,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
22,2020-02-08 16:48:04,0.21251,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,46,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
23,2020-02-08 16:48:06,0.218146,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,48,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
24,2020-02-08 16:48:08,0.215383,normal_mode,pump vibration acceleration RMS,g,0.0,0.0,50,среднеквадратичное ускорение вибрации насоса,main_recommended,SKAB
