t,timestamp,value,regime_hint,source_y_name,y_units,anomaly,changepoint,original_index,source_y_name_ru,recommended_group,source_dataset
0,2020-03-09 10:34:33,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,0,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
1,2020-03-09 10:34:36,32.9986,normal_mode,flow rate in pump loop,L/min,0.0,0.0,2,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
2,2020-03-09 10:34:38,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,4,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
3,2020-03-09 10:34:42,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,6,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
4,2020-03-09 10:34:44,32.0015,normal_mode,flow rate in pump loop,L/min,0.0,0.0,8,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
5,2020-03-09 10:34:46,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,10,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
6,2020-03-09 10:34:48,32.0015,normal_mode,flow rate in pump loop,L/min,0.0,0.0,12,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
7,2020-03-09 10:34:51,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,14,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
8,2020-03-09 10:34:53,32.9986,normal_mode,flow rate in pump loop,L/min,0.0,0.0,16,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
9,2020-03-09 10:34:55,32.9986,normal_mode,flow rate in pump loop,L/min,0.0,0.0,18,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
10,2020-03-09 10:34:58,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,20,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
11,2020-03-09 10:35:00,32.0015,normal_mode,flow rate in pump loop,L/min,0.0,0.0,22,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
12,2020-03-09 10:35:02,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,24,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
13,2020-03-09 10:35:05,32.9986,normal_mode,flow rate in pump loop,L/min,0.0,0.0,26,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
14,2020-03-09 10:35:08,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,28,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
15,2020-03-09 10:35:10,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,30,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
16,2020-03-09 10:35:12,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,32,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
17,2020-03-09 10:35:15,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,34,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
18,2020-03-09 10:35:17,31.9986,normal_mode,flow rate in pump loop,L/min,0.0,0.0,36,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
19,2020-03-09 10:35:19,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,38,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
20,2020-03-09 10:35:21,32.0,normal_mode,flow rate in pump loop,L/min,0.0,0.0,40,расход жидкости в циркуляционном контуре насоса,main_recommended,SKAB
