t,timestamp,value,regime_hint,source_y_name,y_units,Occupancy,original_index,source_y_name_ru,recommended_group,source_dataset
0,2015-02-02 14:19:00,585.2,occupied_room,room light level,Lux,1,0,уровень освещённости в помещении,main_recommended,UCI Occupancy
1,2015-02-02 14:28:00,510.0,occupied_room,room light level,Lux,1,2,уровень освещённости в помещении,main_recommended,UCI Occupancy
2,2015-02-02 14:30:00,481.8,occupied_room,room light level,Lux,1,3,уровень освещённости в помещении,main_recommended,UCI Occupancy
3,2015-02-02 14:38:00,464.0,occupied_room,room light level,Lux,1,5,уровень освещённости в помещении,main_recommended,UCI Occupancy
4,2015-02-02 14:42:00,530.2,occupied_room,room light level,Lux,1,6,уровень освещённости в помещении,main_recommended,UCI Occupancy
5,2015-02-02 14:48:00,522.0,occupied_room,room light level,Lux,1,8,уровень освещённости в помещении,main_recommended,UCI Occupancy
6,2015-02-02 14:53:00,511.0,occupied_room,room light level,Lux,1,10,уровень освещённости в помещении,main_recommended,UCI Occupancy
7,2015-02-02 14:57:59,473.0,occupied_room,room light level,Lux,1,11,уровень освещённости в помещении,main_recommended,UCI Occupancy
8,2015-02-02 15:04:00,454.0,occupied_room,room light level,Lux,1,13,уровень освещённости в помещении,main_recommended,UCI Occupancy
9,2015-02-02 15:14:00,451.6,occupied_room,room light level,Lux,1,16,уровень освещённости в помещении,main_recommended,UCI Occupancy
10,2015-02-02 15:22:00,475.666666666667,occupied_room,room light level,Lux,1,18,уровень освещённости в помещении,main_recommended,UCI Occupancy
11,2015-02-02 15:23:59,467.75,occupied_room,room light level,Lux,1,19,уровень освещённости в помещении,main_recommended,UCI Occupancy
12,2015-02-02 15:32:00,470.0,occupied_room,room light level,Lux,1,21,уровень освещённости в помещении,main_recommended,UCI Occupancy
13,2015-02-02 15:35:00,449.0,occupied_room,room light level,Lux,1,22,уровень освещённости в помещении,main_recommended,UCI Occupancy
14,2015-02-02 15:40:00,469.0,occupied_room,room light level,Lux,1,24,уровень освещённости в помещении,main_recommended,UCI Occupancy
15,2015-02-02 15:47:00,454.75,occupied_room,room light level,Lux,1,26,уровень освещённости в помещении,main_recommended,UCI Occupancy
16,2015-02-02 15:49:59,444.0,occupied_room,room light level,Lux,1,27,уровень освещённости в помещении,main_recommended,UCI Occupancy
17,2015-02-02 15:59:00,429.0,occupied_room,room light level,Lux,1,29,уровень освещённости в помещении,main_recommended,UCI Occupancy
18,2015-02-02 16:00:00,429.0,occupied_room,room light level,Lux,1,30,уровень освещённости в помещении,main_recommended,UCI Occupancy
19,2015-02-02 16:06:00,429.0,occupied_room,room light level,Lux,1,32,уровень освещённости в помещении,main_recommended,UCI Occupancy
20,2015-02-02 16:14:00,429.0,occupied_room,room light level,Lux,1,34,уровень освещённости в помещении,main_recommended,UCI Occupancy
21,2015-02-02 16:17:00,439.0,occupied_room,room light level,Lux,1,35,уровень освещённости в помещении,main_recommended,UCI Occupancy
22,2015-02-02 16:23:00,444.0,occupied_room,room light level,Lux,1,37,уровень освещённости в помещении,main_recommended,UCI Occupancy
23,2015-02-02 16:33:00,444.0,occupied_room,room light level,Lux,1,40,уровень освещённости в помещении,main_recommended,UCI Occupancy
24,2015-02-02 16:40:00,440.25,occupied_room,room light level,Lux,1,42,уровень освещённости в помещении,main_recommended,UCI Occupancy
25,2015-02-02 16:43:00,439.0,occupied_room,room light level,Lux,1,43,уровень освещённости в помещении,main_recommended,UCI Occupancy
26,2015-02-02 16:51:00,442.5,occupied_room,room light level,Lux,1,45,уровень освещённости в помещении,main_recommended,UCI Occupancy
27,2015-02-02 16:53:00,438.0,occupied_room,room light level,Lux,1,46,уровень освещённости в помещении,main_recommended,UCI Occupancy
28,2015-02-02 16:59:59,428.2,occupied_room,room light level,Lux,1,48,уровень освещённости в помещении,main_recommended,UCI Occupancy
